ID,LED,Band_A,Band_B,Band_C,Band_D,Band_E,Band_F,Band_G,Band_H,Band_I,Band_J,Band_K,Band_L,Band_R,Band_S,Band_T,Band_U,Band_V,Band_W,Condition
92,G,0.22328579560623427,0.35696415274459514,1.0559191773738996,0.7929392247021542,2.735277316259043,4.641539545507245,5.1844891599500595,1.6741969199759243,0.3830741189446473,0.35141850885120607,0.056686007,0.19403927101148086,null,null,null,null,null,null,Healthy
93,B,0.3006839294667836,0.23733385201167273,0.9377575721404025,0.532210912,1.5380007561780193,2.5320613868999775,2.4279935339220837,0.663525407,0.2797424180425574,0.074523716,0.2046933907803175,0.27550923831308477,null,null,null,null,null,null,Healthy
94,R,0.090267455,0.20165898791755815,0.813378664,0.5179700116550712,1.7860444444776071,2.8805035177872536,3.5553959991372373,1.474026689678335,0.5540617965425768,0.4855722836491808,0.43299688041269563,0.5396236821856473,null,null,null,null,null,null,Healthy
95,G,0.1687614333232066,0.20219489234888277,0.7617718673211265,0.7723046227115489,2.1686246362444392,4.1457359611201285,5.108087666196535,1.4611161358245397,0.4529473314781877,0.2382890317106836,0.2983023617595799,0.12784261630926655,null,null,null,null,null,null,Healthy
96,B,0.1222955010484792,0.38064395537853535,0.9553331013363163,0.6000619909162466,1.6544049165875274,2.2775252260931103,2.369203707338622,0.8336357081545248,0.22459877571044493,0.26292949957765827,0.20601728498623748,0.19295321,null,null,null,null,null,null,Healthy
97,R,0.03090704,0.30316211489839356,0.6522657967205397,0.5957258142462638,1.435934472,2.388435453972961,3.2592105585967137,1.3512327317664785,0.6791292282756776,0.48052330338375226,0.5352167542151498,0.5209712703928158,null,null,null,null,null,null,Healthy
98,G,0.1900175191786468,0.3399440171174189,1.0639922985442656,0.3693869324058729,2.3069970836844274,4.2322371957538865,5.068044312881223,1.344813029391871,0.15735524630496178,0.20674441946621977,0.10361890249842108,0.17459673914717547,null,null,null,null,null,null,Healthy
99,B,0.3053350724263393,0.46719979638992704,0.9140190293996671,0.5622456254076056,1.758650323674765,2.825286589622909,2.782052850316455,0.8376672420703382,0.24883406289096496,0.22461088945723684,0.11854560625366238,0.2544132163245945,null,null,null,null,null,null,Healthy
100,R,0.31504118855250396,0.20156420942821807,0.6637034199619992,0.5439877794617404,1.8715717229527145,3.138283637003105,4.007094415326404,1.4234795224980525,0.5804526303725668,0.46914459118812085,0.4613293162118815,0.6688611911217318,null,null,null,null,null,null,Healthy
101,G,0.07817865,0.2318373898203881,1.0051027538500688,0.7635184515793381,2.232846975507653,4.357842504153578,5.144038960400757,1.4971994073392587,0.16329880760079551,0.25249221738681793,0.21898405356001086,0.24676338166304296,null,null,null,null,null,null,Healthy
102,B,0.20590509621545308,0.408034384,1.099062504269338,0.5336957989791709,2.1808618083030265,2.556626339,2.5709678244749075,1.0128039415932981,0.24240782989543017,0.080095101,0.10353643966004322,0.23672090210677998,null,null,null,null,null,null,Healthy
